city,lat,lng,pop
Modena,44.65002525,10.91999467,100000
Coburg,50.26660748,10.96660681,50000
Verona,45.44039044,10.99001623,200000
Erfurt,50.97005292,11.02996212,100000
Nuremberg,49.44999066,11.0799849,261081
Trento,46.08042889,11.11998246,100000
Florence,43.78000083,11.25000036,200000
Bologna,44.50042198,11.34002071,200000
Bolzano,46.5004291,11.36001949,75000
Innsbruck,47.28040733,11.4099906,100000
Schwerin,53.63330408,11.41669861,75000
Ingolstadt,48.77041974,11.44998816,100000
Munich,48.12994204,11.57499345,499932
Jena,50.93044293,11.58000606,75000
Ferrara,44.85042645,11.60992672,100000
Magdeburg,52.13042137,11.62000362,200000
Civitavecchia,42.10041343,11.79999263,50000
Arezzo,43.46172569,11.87497514,75000
Hof,50.31704368,11.91667802,50000
Goteborg,57.75000083,12.0000321,200000
Gera,50.87036908,12.07000199,100000
Regensburg,49.02040448,12.12002478,100000
Rosenheim,47.8503467,12.13330562,75000
Rostock,54.07038047,12.14999711,200000
Ravenna,44.42037518,12.22001868,100000
Treviso,45.67001467,12.24001745,100000
Venice,45.43865928,12.33499874,200000
Perugia,43.11037762,12.38998246,100000
Leipzig,51.33540529,12.40998124,456124
Marsala,37.80540428,12.43866166,50000
Rome,41.89595563,12.48325842,452371
Copenhagen,55.67856419,12.56348575,356142
Helsingborg,56.05049217,12.70004106,75000
Halmstad,56.67177207,12.85558712,50000
Boras,57.7304413,12.91997595,50000
Chemnitz,50.82998395,12.91997595,200000
Malmo,55.58333722,13.03330237,200000
Salzburg,47.81047833,13.0400203,100000
Potsdam,52.40040489,13.06999263,100000
Stralsund,54.30041811,13.10001664,50000
Udine,46.07001609,13.2400081,100000
Palermo,38.12502301,13.35002722,305897
Pizen,49.74043805,13.36000077,100000
L'Aquila,42.35039817,13.39002478,50000
Berlin,52.52181866,13.40154862,1888848
Passau,48.56704714,13.46660925,50000
Karlstad,59.36713727,13.49994055,50000
Ancona,43.60037355,13.49994055,75000
Dresden,51.04997052,13.75000281,396146
Trieste,45.65037762,13.80002559,200000
Pula,44.86871991,13.84808467,50000
Usti Nad Labem,50.66299816,14.08100455,75000
Jonkoping,57.7713432,14.16501623,75000
Pescara,42.45543052,14.21865637,200000
Naples,40.84002525,14.24501135,553712
Linz,48.31923281,14.28878129,200000
Klagenfurt,46.62034426,14.3100203,75000
Cottbus,51.7704175,14.32996741,75000
Caserta,41.05996014,14.33735714,100000
Rijeka,45.32998374,14.45001176,100000
Ceske Budejovice,48.98001935,14.46003699,75000
Prague,50.08333701,14.46597978,200000
Ljubljana,46.05528831,14.51496903,200000
Stettin,53.42039431,14.53000688,200000
Campobasso,41.56299912,14.65599656,50000
Ragusa,36.93003135,14.72999467,50000
Benevento,41.13370241,14.74999345,50000
Salerno,40.68039675,14.76994055,200000
Liberec,50.79995994,15.07999914,75000
Catania,37.49997072,15.07999914,200000
Orebro,59.2803467,15.2199906,75000
Zadar,44.12013511,15.26226192,50000
Siracusa,37.0703587,15.28996049,100000
Graz,47.0777582,15.41000484,200000
Grunberg,51.95040651,15.50002519,100000
Karlovac,45.48720929,15.54777421,50000
Messina,38.2004706,15.5499963,200000
Foggia,41.46047833,15.55996985,100000
Jihlava,49.40038129,15.58332759,50000
Linkoping,58.41001223,15.62993974,75000
Reggio di Calabria,38.11499778,15.64136023,100000
Maribor,46.54047833,15.65004187,100000
Pardubice,50.04041974,15.76000932,75000
Potenza,40.64200213,15.7989965,50000
Hradec Kralove,50.20599617,15.81200153,75000
Zagreb,45.80000673,15.99999467,200000
Norrkoping,58.59542727,16.17869177,75000
Koslin,54.2,16.1833333,100000
Wiener Neustadt,47.81598187,16.24995357,50000
Barletta,41.31999595,16.27000403,75000
Vienna,48.20001528,16.36663896,1662269
Split,43.52040428,16.46999182,100000
Vasteras,59.63001528,16.54001339,100000
Catanzaro,38.9003762,16.60000972,75000
Brno,49.20039349,16.60998328,200000
Szombathely,47.22534609,16.62874182,75000
Prijedor,44.98039268,16.70000362,50000
Zalaegerszeg,46.84400103,16.83999959,50000
Bari,41.1142204,16.87275793,200000
Poznan,52.4057534,16.89993974,200000
Breslau,51.11043194,17.03000932,422709
Bratislava,48.15001833,17.11698075,200000
Crotone,39.08333661,17.12333695,50000
Banja Luka,44.78040489,17.17997432,200000
Taranto,40.50839174,17.22999711,100000
Olomouc,49.63003135,17.24999589,75000
Sundsvall,62.40005292,17.31665849,50000
Trnava,48.36659426,17.60000036,50000
Gyor,47.70035585,17.63002437,100000
Uppsala,59.86005292,17.63999792,100000
Zlin,49.2304175,17.65002315,100000
Kaposvar,46.36702639,17.79998816,75000
Mostar,43.35049217,17.82003861,100000
Veszprem,47.09099714,17.91099957,50000
Zenica,44.21997398,17.91998083,100000
Brindisi,40.64034751,17.93000606,75000
Opole,50.68497988,17.93134965,100000
Bromberg,53.12041262,18.01000118,200000
Slavonski Brod,45.16027834,18.01558223,75000
Stockholm,59.35075995,18.09733473,300624
Lecce,40.36039044,18.14999263,100000
Pecs,46.08042889,18.2200142,100000
Inowroclaw,52.77994244,18.24998653,75000
Ostrava,49.83035504,18.24998653,200000
Sarajevo,43.8500224,18.38300167,200000
Szekesfehervar,47.19467613,18.40806474,100000
Tatabanya,47.54999718,18.43299957,50000
Danzig,54.3599752,18.64004024,200000
Gleiwitz,50.3303762,18.67001257,200000
Osijek,45.55038373,18.6800378,75000
Tuzla,44.5504706,18.6800378,100000
Zilina,49.21982383,18.74938757,75000
Graudenz,53.48039064,18.75000769,100000
Kattowitz,50.35003908,18.90999792,200000
Budapest,47.50000633,19.08332068,732322
Banska Bystrica,48.73329022,19.14998328,75000
Podgorica,42.46597251,19.26630692,100000
Elbing,54.18995974,19.40268103,100000
Durres,41.3177997,19.44820797,100000
Lodz,51.77499086,19.45136023,351570
Vlore,40.47736005,19.49823075,75000
Shkoder,42.06845156,19.51884965,100000
Fier,40.73000402,19.5730026,50000
Subotica,46.07001609,19.68002844,75000
Kecskemet,46.90004295,19.70002722,100000
Tirana,41.32754071,19.81888301,200000
Novi Sad,45.2503762,19.84994055,200000
Krakow,50.05997927,19.96001135,200000
Elbasan,41.12150677,20.08382808,100000
Szeged,46.25039268,20.15002559,100000
Szolnok,47.18635622,20.17937781,75000
Pec,42.66032757,20.3107393,75000
Pec,43.88973574,20.33011796,100000
Eger,47.89500314,20.38300258,50000
Zrenjanin,45.3786371,20.39946773,50000
Belgrade,44.81864545,20.46799068,200000
Allenstein,53.80003522,20.48003129,100000
Konigsberg,54.70000612,20.49734289,200000
Kielce,50.8903937,20.6600203,200000
Prizren,42.22932029,20.75009232,100000
Korce,40.61667601,20.76666353,50000
Miskolc,48.10040896,20.78001298,200000
Ioanina,39.66790041,20.85086137,75000
Kragujevac,44.01996035,20.92000443,100000
Tetovo,42.00923037,20.9700789,75000
Warsaw,52.25000063,20.99999955,727325
Liepaga,56.50997316,21.01002478,75000
Bekescsaba,46.67200211,21.10100457,50000
Memel,55.72040896,21.11994055,100000
Pristina,42.66670961,21.16598425,200000
Timisoara,45.75882062,21.22344844,200000
Presov,48.99973391,21.23936479,75000
Kosice,48.73044802,21.25001013,200000
Arad,46.17000999,21.31998002,100000
Bitola,41.03905703,21.33951371,75000
Agrinio,38.62176271,21.4077266,50000
Skopje,42.00000612,21.43346147,200000
Monastir,40.95,21.3292,100000
Debrecen,47.53046958,21.63003861,200000
Nyiregyhaza,47.96532676,21.71871537,100000
Patra,38.23000368,21.72998083,100000
Resita,45.2969625,21.88650875,75000
Nis,43.33041587,21.8999963,200000
Oradea,47.04998212,21.91999508,200000
Rzeszow,50.07046958,22.00004187,200000
Przemysl,49.7839,22.7678,100000
Kalamata,37.03891359,22.11419511,50000
Uzhgorod,48.62998903,22.25000077,100000
Elk,53.83370241,22.34999467,50000
Larissa,39.63040916,22.42001623,100000
Katerini,40.2723338,22.50249182,50000
Lublin,51.25039756,22.57272009,200000
Drobeta-Turnu Severin,44.64589113,22.6658927,100000
